Time [s],Event
3,3090525,Read 0x02 from 0x50. +ACK
3,3091805,Read 0xD0 from 0x50. +No ACK
3,3093013,Stop
3,3215728,Start
3,3216145,Setup write to 0x50. +ACK
3,3216865,Wrote 0x01 to 0x50. +ACK
3,3217585,Wrote 0x02 to 0x50. +ACK
3,3218305,Wrote 0x08 to 0x50. +ACK
3,3219025,Wrote 0x0D to 0x50. +ACK
3,3219683,Stop
3,3250525,Start
3,3250943,Setup write to 0x50. +ACK
3,3251663,Wrote 0x01 to 0x50. +ACK
3,3252360,Start
3,3252733,Setup read from 0x50. +ACK
3,3253453,Read 0x04 from 0x50. +ACK
3,3254775,Read 0x30 from 0x50. +ACK
3,3256505,Read 0x2A from 0x50. +ACK
3,3257785,Read 0xD8 from 0x50. +ACK
3,3259065,Read 0xCB from 0x50. +No ACK
3,3260273,Stop
3,3261118,Start
3,3261535,Setup write to 0x50. +ACK
3,3262255,Wrote 0x01 to 0x50. +ACK
3,3262975,Wrote 0x02 to 0x50. +ACK
3,3263695,Wrote 0x08 to 0x50. +ACK
3,3264415,Wrote 0x05 to 0x50. +ACK
3,3265075,Stop
3,3296365,Start
3,3296785,Setup write to 0x50. +ACK
3,3297505,Wrote 0x01 to 0x50. +ACK
3,3298203,Start
3,3298575,Setup read from 0x50. +ACK
3,3299295,Read 0x04 from 0x50. +ACK
3,3300615,Read 0x19 from 0x50. +ACK
3,3301895,Read 0x00 from 0x50. +ACK
3,3303175,Read 0x00 from 0x50. +ACK
3,3304455,Read 0x00 from 0x50. +No ACK
3,3306125,Stop
3,3306808,Start
3,3307228,Setup write to 0x50. +ACK
3,3307948,Wrote 0x01 to 0x50. +ACK
3,3308668,Wrote 0x02 to 0x50. +ACK
3,3309388,Wrote 0x08 to 0x50. +ACK
3,3310108,Wrote 0x06 to 0x50. +ACK
3,3310765,Stop
3,3341598,Start
3,3342015,Setup write to 0x50. +ACK
3,3342735,Wrote 0x01 to 0x50. +ACK
3,3343433,Start
3,3343805,Setup read from 0x50. +ACK
3,3344525,Read 0x04 from 0x50. +ACK
3,3346305,Read 0x19 from 0x50. +ACK
3,3347588,Read 0x00 from 0x50. +ACK
3,3348868,Read 0x00 from 0x50. +ACK
3,3350148,Read 0x00 from 0x50. +No ACK
3,3351355,Stop
3,3352270,Start
3,3352688,Setup write to 0x50. +ACK
3,3353408,Wrote 0x01 to 0x50. +ACK
3,3354128,Wrote 0x02 to 0x50. +ACK
3,3354848,Wrote 0x08 to 0x50. +ACK
3,3356028,Wrote 0x08 to 0x50. +ACK
3,3356685,Stop
3,3387518,Start
3,3387935,Setup write to 0x50. +ACK
3,3388658,Wrote 0x01 to 0x50. +ACK
3,3389353,Start
3,3389728,Setup read from 0x50. +ACK
3,3390448,Read 0x04 from 0x50. +ACK
3,3391768,Read 0x01 from 0x50. +ACK
3,3393048,Read 0x00 from 0x50. +ACK
3,3394328,Read 0x3C from 0x50. +ACK
3,3396068,Read 0x00 from 0x50. +No ACK
3,3397275,Stop
3,3397980,Start
3,3398398,Setup write to 0x50. +ACK
3,3399120,Wrote 0x01 to 0x50. +ACK
3,3399840,Wrote 0x02 to 0x50. +ACK
3,3400560,Wrote 0x08 to 0x50. +ACK
3,3401280,Wrote 0x09 to 0x50. +ACK
3,3401938,Stop
3,3432770,Start
3,3433188,Setup write to 0x50. +ACK
3,3433908,Wrote 0x01 to 0x50. +ACK
3,3434605,Start
3,3434978,Setup read from 0x50. +ACK
3,3436158,Read 0x04 from 0x50. +ACK
3,3437478,Read 0x01 from 0x50. +ACK
3,3438758,Read 0x00 from 0x50. +ACK
3,3440040,Read 0x3C from 0x50. +ACK
3,3441320,Read 0x00 from 0x50. +No ACK
3,3442528,Stop
3,3443233,Start
3,3443650,Setup write to 0x50. +ACK
3,3444370,Wrote 0x01 to 0x50. +ACK
3,3445090,Wrote 0x02 to 0x50. +ACK
3,3446190,Wrote 0x08 to 0x50. +ACK
3,3446910,Wrote 0x0A to 0x50. +ACK
3,3447568,Stop
3,3478410,Start
3,3478828,Setup write to 0x50. +ACK
3,3479548,Wrote 0x01 to 0x50. +ACK
3,3480245,Start
3,3480618,Setup read from 0x50. +ACK
