ABS time (ms), value, Arm On, Arm Down, Bowl On, Bowl CW, Dosage pump, Drain pump, Water valve, Blow dryer, duration (ms)
0340260200,0x3-,0,0,1,1,0,0,x,0,0075591145
0415851345,0x3-,0,0,1,1,0,1,x,0,0025206220
0441057565,0x3-,0,0,1,1,0,0,x,0,0075718300
0516775865,0x3-,0,0,1,1,0,1,x,0,0025206185
0541982050,0x3-,0,0,1,1,0,0,x,0,0008202060
0550184110,0x3-,0,0,1,1,0,1,x,0,0025206130
0575390240,0x3-,0,0,1,1,0,0,x,0,0008202165
0583592405,0x3-,0,0,1,1,0,1,x,0,0065616025
0649208430,0x3-,0,0,1,1,0,0,x,0,0055418055
0704626485,0x3-,0,0,1,1,1,0,x,0,0000127185
0704753670,0x2-,0,0,1,0,1,0,x,0,0000011380
0704765050,0x2-,0,0,1,0,1,0,x,1,0000000005
0704765055,0x2-,0,0,1,0,1,0,x,0,0000000055
0704765110,0x2-,0,0,1,0,1,1,x,0,0000000005
0704765115,0x2-,0,0,1,0,1,0,x,0,0002462015
0707227130,0x2-,0,0,1,0,0,0,x,0,0000127180
0707354310,0x3-,0,0,1,1,0,0,x,0,0065584085
0772938395,0x3-,0,0,1,1,0,1,x,0,0025206325
0798144720,0x3-,0,0,1,1,0,0,x,0,0075718275
0873862995,0x3-,0,0,1,1,0,1,x,0,0024206035
0898069030,0x3-,0,0,1,1,0,0,x,0,0008201925
0906270955,0x3-,0,0,1,1,0,1,x,0,0024205980
0930476935,0x3-,0,0,1,1,0,0,x,0,0008202130
0938679065,0x3-,0,0,1,1,0,1,x,0,0075718290
1014397355,0x3-,0,0,1,1,0,0,x,0,0025501670
1039899025,0x7-,0,1,1,1,0,0,x,0,0000031750
1039930775,0xf-,1,1,1,1,0,0,x,0,0000007115
1039937890,0xf-,1,1,1,1,1,1,x,1,0000000005
1039937895,0xf-,1,1,1,1,0,0,x,0,0021166350
1061104245,0xb-,1,0,1,1,0,0,x,0,0000909495
1062013740,0xb-,1,0,1,1,1,0,x,0,0000127190
1062140930,0xa-,1,0,1,0,1,0,x,0,0000031790
1062172720,0x8-,1,0,0,0,1,0,x,0,0000063595
1062236315,0x0-,0,0,0,0,1,0,x,0,0009579740
1071816055,0x0-,0,0,0,0,0,0,x,0,0000158975
1071975030,0x2-,0,0,1,0,0,0,x,0,0005169645
1077144675,0x3-,0,0,1,1,0,0,x,0,0000003835
1077148510,0x3-,0,0,1,1,1,1,x,1,0000000005
1077148515,0x3-,0,0,1,1,0,0,x,0,0000000330
1077148845,0x3-,0,0,1,1,0,1,x,1,0000000005
1077148850,0x3-,0,0,1,1,0,0,x,0,0055477465
1132626315,0x3-,0,0,1,1,0,1,x,0,0000031795
1132658110,0x2-,0,0,1,0,0,1,x,0,0000005495
1132663605,0x2-,0,0,1,0,0,1,x,1,0000000005
1132663610,0x2-,0,0,1,0,0,1,x,0,0065610445
1198274055,0x3-,0,0,1,1,0,1,x,0,0010075395
1208349450,0x3-,0,0,1,1,1,1,x,0,0000127185
1208476635,0x2-,0,0,1,0,1,1,x,0,0000006765
1208483400,0x3-,0,0,1,1,1,1,x,1,0000000005
1208483405,0x2-,0,0,1,0,1,1,x,0,0000025020
1208508425,0x0-,0,0,0,0,1,1,x,0,0009643265
1218151690,0x0-,0,0,0,0,0,1,x,0,0000005470
1218157160,0x0-,0,0,0,0,0,1,x,1,0000000005
1218157165,0x0-,0,0,0,0,0,1,x,0,0000121710
1218278875,0x1-,0,0,0,1,0,1,x,0,0000031790
1218310665,0x3-,0,0,1,1,0,1,x,0,0025110880
1243421545,0x3-,0,0,1,1,0,1,x,1,0000063650
1243485195,0x2-,0,0,1,0,0,1,x,1,0000005295
1243490490,0xf-,1,1,1,1,1,1,x,1,0000000005
1243490495,0x2-,0,0,1,0,0,1,x,1,0035303295
1278793790,0x3-,0,0,1,1,0,1,x,1,0000004140
1278797930,0xf-,1,1,1,1,1,1,x,1,0000000005
1278797935,0x3-,0,0,1,1,0,1,x,1,0055509340
1334307275,0x2-,0,0,1,0,0,1,x,1,0035276700
1369583975,0x2-,0,0,1,0,0,0,x,1,0001732315
1371316290,0x3-,0,0,1,1,0,0,x,1,0055513575
1426829865,0x2-,0,0,1,0,0,0,x,1,0000005425
1426835290,0xf-,1,1,1,1,1,1,x,1,0000000005
1426835295,0x2-,0,0,1,0,0,0,x,1,0000002670
1426837965,0x2-,0,0,1,0,1,1,x,1,0000000005
1426837970,0x2-,0,0,1,0,0,0,x,1,0035300395
1462138365,0x3-,0,0,1,1,0,0,x,1,0055513505
1517651870,0x2-,0,0,1,0,0,0,x,1,0035308605
1552960475,0x3-,0,0,1,1,0,0,x,1,0045411070
1598371545,0x2-,0,0,1,0,0,0,x,1,0035403740
1633775285,0xa-,1,0,1,0,0,0,x,1,0009980015
1643755300,0xa-,1,0,1,0,1,0,x,1,0000158990
1643914290,0x8-,1,0,0,0,1,0,x,1,0000063595
1643977885,0x0-,0,0,0,0,1,0,x,1,0002377960
1646355845,0x0-,0,0,0,0,0,0,x,1,0000158980
1646514825,0x2-,0,0,1,0,0,0,x,1,0005233120
1651747945,0x6-,0,1,1,0,0,0,x,1,0000031750
1651779695,0xe-,1,1,1,0,0,0,x,1,0010270835
1662050530,0xa-,1,0,1,0,0,0,x,1,0000031745
1662082275,0x2-,0,0,1,0,0,0,x,1,0035213245
1697295520,0x3-,0,0,1,1,0,0,x,1,0045411040
1742706560,0x2-,0,0,1,0,0,0,x,1,0035308500
1778015060,0x3-,0,0,1,1,0,0,x,1,0045411100
1823426160,0x2-,0,0,1,0,0,0,x,1,0035403755
1858829915,0xa-,1,0,1,0,0,0,x,1,0010380090
1869210005,0xa-,1,0,1,0,1,0,x,1,0000158995
1869369000,0x8-,1,0,0,0,1,0,x,1,0000063595
1869432595,0x0-,0,0,0,0,1,0,x,1,0002377945
1871810540,0x0-,0,0,0,0,0,0,x,1,0000158985
1871969525,0x2-,0,0,1,0,0,0,x,1,0004232905
1876202430,0x6-,0,1,1,0,0,0,x,1,0000031750
1876234180,0xe-,1,1,1,0,0,0,x,1,0010771015
1887005195,0xa-,1,0,1,0,0,0,x,1,0000006460
1887011655,0xa-,1,0,1,0,0,1,x,1,0000000005
1887011660,0xa-,1,0,1,0,0,0,x,1,0000025280
1887036940,0x2-,0,0,1,0,0,0,x,1,0035213120
1922250060,0x3-,0,0,1,1,0,0,x,1,0035308600
1957558660,0x2-,0,0,1,0,0,0,x,1,0035308600
1992867260,0x3-,0,0,1,1,0,0,x,1,0035308495
2028175755,0x2-,0,0,1,0,0,0,x,1,0000005370
2028181125,0x2-,0,0,1,0,1,1,x,1,0000000005
2028181130,0x2-,0,0,1,0,0,0,x,1,0035398425
2063579555,0xa-,1,0,1,0,0,0,x,1,0011502850
2075082405,0x2-,0,0,1,0,0,0,x,1,0002168830
2077251235,0x6-,0,1,1,0,0,0,x,1,0000031750
2077282985,0xe-,1,1,1,0,0,0,x,1,0011671180
2088954165,0xa-,1,0,1,0,0,0,x,1,0000031745
2088985910,0x2-,0,0,1,0,0,0,x,1,0045315670
2134301580,0x3-,0,0,1,1,0,0,x,1,0035308535
-2125357181,0x2-,0,0,1,0,0,0,x,1,0045411000
-2079946181,0x3-,0,0,1,1,0,0,x,1,0035308620
-2044637561,0x2-,0,0,1,0,0,0,x,1,0000005470
-2044632091,0xf-,1,1,1,1,1,1,x,1,0000000005
-2044632086,0x2-,0,0,1,0,0,0,x,1,0045405570
-1999226516,0x3-,0,0,1,1,0,0,x,1,0035308475
-1963918041,0x2-,0,0,1,0,0,0,x,1,0045411010
-1918507031,0x3-,0,0,1,1,0,0,x,1,0035403915
-1883103116,0xb-,1,0,1,1,0,0,x,1,0000300030
-1882803086,0x3-,0,0,1,1,0,0,x,1,0012202990
-1870600096,0xb-,1,0,1,1,0,0,x,1,0000300085
-1870300011,0x3-,0,0,1,1,0,0,x,1,0012202965
-1858097046,0xb-,1,0,1,1,0,0,x,1,0000300035
-1857797011,0x3-,0,0,1,1,0,0,x,1,0010202505
-1847594506,0xb-,1,0,1,1,0,0,x,1,0000006605
-1847587901,0xb-,1,0,1,1,1,1,x,1,0000000005
-1847587896,0xb-,1,0,1,1,0,0,x,1,0000000030
-1847587866,0xb-,1,0,1,1,1,1,x,1,0000000005
-1847587861,0xb-,1,0,1,1,0,0,x,1,0000293435
-1847294426,0x3-,0,0,1,1,0,0,x,1,0010202485
-1837091941,0xb-,1,0,1,1,0,0,x,1,0009170470
-1827921471,0xf-,1,1,1,1,0,0,x,1,0006474215
-1821447256,0xf-,1,1,1,1,0,0,x,0,0000127250
-1821320006,0xb-,1,0,1,1,0,0,x,0,0018140855
-1803179151,0xa-,1,0,1,0,0,0,x,0,0000031790
-1803147361,0x8-,1,0,0,0,0,0,x,0,0000005065
-1803142296,0x8-,1,0,0,0,0,1,x,1,0000000005
-1803142291,0x8-,1,0,0,0,0,0,x,0,0000000240
-1803142051,0xb-,1,0,1,1,1,1,x,1,0000000005
-1803142046,0x8-,1,0,0,0,0,0,x,0,0000000185
-1803141861,0xf-,1,1,1,1,1,1,x,1,0000000005
-1803141856,0x8-,1,0,0,0,0,0,x,0,0000026350
-1803115506,0xc-,1,1,0,0,0,0,x,0,0002768590
-1800346916,0x8-,1,0,0,0,0,0,x,0,0000031850
-1800315066,0x0-,0,0,0,0,0,0,x,0,0019206330
