ABS time (ms)	 value	 Arm On	 Arm Down	 Bowl On	 Bowl CW	 Dosage pump	 Drain pump	 Water valve	 Blow dryer	 duration (ms)
873,862995	0x3-	0	0	1	1	0	1	x	0	24,206035
898,06903	0x3-	0	0	1	1	0	0	x	0	8,201925
906,270955	0x3-	0	0	1	1	0	1	x	0	24,20598
930,476935	0x3-	0	0	1	1	0	0	x	0	8,20213
938,679065	0x3-	0	0	1	1	0	1	x	0	75,71829
1014,397355	0x3-	0	0	1	1	0	0	x	0	25,50167
1039,899025	0x7-	0	1	1	1	0	0	x	0	0,03175
1039,930775	0xf-	1	1	1	1	0	0	x	0	0,007115
1039,93789	0xf-	1	1	1	1	1	1	x	1	0,000005
1039,937895	0xf-	1	1	1	1	0	0	x	0	21,16635
1061,104245	0xb-	1	0	1	1	0	0	x	0	0,909495
1062,01374	0xb-	1	0	1	1	1	0	x	0	0,12719
1062,14093	0xa-	1	0	1	0	1	0	x	0	0,03179
1062,17272	0x8-	1	0	0	0	1	0	x	0	0,063595
1062,236315	0x0-	0	0	0	0	1	0	x	0	9,57974
1071,816055	0x0-	0	0	0	0	0	0	x	0	0,158975
1071,97503	0x2-	0	0	1	0	0	0	x	0	5,169645
1077,144675	0x3-	0	0	1	1	0	0	x	0	0,003835
1077,14851	0x3-	0	0	1	1	1	1	x	1	0,000005
1077,148515	0x3-	0	0	1	1	0	0	x	0	0,00033
1077,148845	0x3-	0	0	1	1	0	1	x	1	0,000005
1077,14885	0x3-	0	0	1	1	0	0	x	0	55,477465
1132,626315	0x3-	0	0	1	1	0	1	x	0	0,031795
1132,65811	0x2-	0	0	1	0	0	1	x	0	0,005495
1132,663605	0x2-	0	0	1	0	0	1	x	1	0,000005
1132,66361	0x2-	0	0	1	0	0	1	x	0	65,610445
1198,274055	0x3-	0	0	1	1	0	1	x	0	10,075395
1208,34945	0x3-	0	0	1	1	1	1	x	0	0,127185
1208,476635	0x2-	0	0	1	0	1	1	x	0	0,006765
1208,4834	0x3-	0	0	1	1	1	1	x	1	0,000005
1208,483405	0x2-	0	0	1	0	1	1	x	0	0,02502
1208,508425	0x0-	0	0	0	0	1	1	x	0	9,643265
1218,15169	0x0-	0	0	0	0	0	1	x	0	0,00547
1218,15716	0x0-	0	0	0	0	0	1	x	1	0,000005
1218,157165	0x0-	0	0	0	0	0	1	x	0	0,12171
1218,278875	0x1-	0	0	0	1	0	1	x	0	0,03179
