Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
1226,821730	0x36	Stop	CW	Off	On	On	Off	0,000020
1226,821750	0x34	Stop	CW	Off	On	Off	Off	0,100095
1226,921845	0x36	Stop	CW	Off	On	On	Off	0,000020
1226,921865	0x34	Stop	CW	Off	On	Off	Off	0,099965
1227,021830	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,021850	0x34	Stop	CW	Off	On	Off	Off	0,099995
1227,121845	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,121865	0x34	Stop	CW	Off	On	Off	Off	0,099960
1227,221825	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,221845	0x34	Stop	CW	Off	On	Off	Off	0,100075
1227,321920	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,321940	0x34	Stop	CW	Off	On	Off	Off	0,099950
1227,421890	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,421910	0x34	Stop	CW	Off	On	Off	Off	0,099960
1227,521870	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,521890	0x34	Stop	CW	Off	On	Off	Off	0,100075
1227,621965	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,621985	0x34	Stop	CW	Off	On	Off	Off	0,099955
1227,721940	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,721960	0x34	Stop	CW	Off	On	Off	Off	0,100080
1227,822040	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,822060	0x34	Stop	CW	Off	On	Off	Off	0,099965
1227,922025	0x36	Stop	CW	Off	On	On	Off	0,000020
1227,922045	0x34	Stop	CW	Off	On	Off	Off	0,099970
1228,022015	0x36	Stop	CW	Off	On	On	Off	0,000015
1228,022030	0x34	Stop	CW	Off	On	Off	Off	0,099985
1228,122015	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,122035	0x34	Stop	CW	Off	On	Off	Off	0,100075
1228,222110	0x36	Stop	CW	Off	On	On	Off	0,000015
1228,222125	0x34	Stop	CW	Off	On	Off	Off	0,099970
1228,322095	0x36	Stop	CW	Off	On	On	Off	0,000015
1228,322110	0x34	Stop	CW	Off	On	Off	Off	0,100075
1228,422185	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,422205	0x34	Stop	CW	Off	On	Off	Off	0,099960
1228,522165	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,522185	0x34	Stop	CW	Off	On	Off	Off	0,099955
1228,622140	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,622160	0x34	Stop	CW	Off	On	Off	Off	0,100075
1228,722235	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,722255	0x34	Stop	CW	Off	On	Off	Off	0,099950
1228,822205	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,822225	0x34	Stop	CW	Off	On	Off	Off	0,100080
1228,922305	0x36	Stop	CW	Off	On	On	Off	0,000020
1228,922325	0x34	Stop	CW	Off	On	Off	Off	0,099970
1229,022295	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,022315	0x34	Stop	CW	Off	On	Off	Off	0,099990
1229,122305	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,122325	0x34	Stop	CW	Off	On	Off	Off	0,099955
1229,222280	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,222300	0x34	Stop	CW	Off	On	Off	Off	0,100085
1229,322385	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,322405	0x34	Stop	CW	Off	On	Off	Off	0,099955
1229,422360	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,422380	0x34	Stop	CW	Off	On	Off	Off	0,100080
1229,522460	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,522480	0x34	Stop	CW	Off	On	Off	Off	0,099950
1229,622430	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,622450	0x34	Stop	CW	Off	On	Off	Off	0,099965
1229,722415	0x36	Stop	CW	Off	On	On	Off	0,000015
1229,722430	0x34	Stop	CW	Off	On	Off	Off	0,100075
1229,822505	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,822525	0x34	Stop	CW	Off	On	Off	Off	0,099960
1229,922485	0x36	Stop	CW	Off	On	On	Off	0,000020
1229,922505	0x34	Stop	CW	Off	On	Off	Off	0,100100
1230,022605	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,022625	0x34	Stop	CW	Off	On	Off	Off	0,099995
1230,122620	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,122640	0x34	Stop	CW	Off	On	Off	Off	0,099950
1230,222590	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,222610	0x34	Stop	CW	Off	On	Off	Off	0,099960
1230,322570	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,322590	0x34	Stop	CW	Off	On	Off	Off	0,100080
1230,422670	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,422690	0x34	Stop	CW	Off	On	Off	Off	0,099955
1230,522645	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,522665	0x34	Stop	CW	Off	On	Off	Off	0,099960
1230,622625	0x36	Stop	CW	Off	On	On	Off	0,000015
1230,622640	0x34	Stop	CW	Off	On	Off	Off	0,100090
1230,722730	0x36	Stop	CW	Off	On	On	Off	0,000015
1230,722745	0x34	Stop	CW	Off	On	Off	Off	0,099955
1230,822700	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,822720	0x34	Stop	CW	Off	On	Off	Off	0,100080
1230,922800	0x36	Stop	CW	Off	On	On	Off	0,000020
1230,922820	0x34	Stop	CW	Off	On	Off	Off	0,099965
1231,022785	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,022805	0x34	Stop	CW	Off	On	Off	Off	0,100000
1231,122805	0x36	Stop	CW	Off	On	On	Off	0,000015
1231,122820	0x34	Stop	CW	Off	On	Off	Off	0,099955
1231,222775	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,222795	0x34	Stop	CW	Off	On	Off	Off	0,100085
1231,322880	0x36	Stop	CW	Off	On	On	Off	0,000015
1231,322895	0x34	Stop	CW	Off	On	Off	Off	0,099970
1231,422865	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,422885	0x34	Stop	CW	Off	On	Off	Off	0,100075
1231,522960	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,522980	0x34	Stop	CW	Off	On	Off	Off	0,099950
1231,622930	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,622950	0x34	Stop	CW	Off	On	Off	Off	0,099960
1231,722910	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,722930	0x34	Stop	CW	Off	On	Off	Off	0,100085
1231,823015	0x36	Stop	CW	Off	On	On	Off	0,000020
1231,823035	0x34	Stop	CW	Off	On	Off	Off	0,099955
1231,922990	0x36	Stop	CW	Off	On	On	Off	0,000015
1231,923005	0x34	Stop	CW	Off	On	Off	Off	0,099975
1232,022980	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,023000	0x34	Stop	CW	Off	On	Off	Off	0,100000
