Time [s],Event
0,0543388,Stop
0,0564108,Start
0,0564525,Setup write to 0x50. +ACK
0,0565248,Wrote 0x01 to 0x50. +ACK
0,0565945,Start
0,0566318,Setup read from 0x50. +ACK
0,0567038,Read 0x00 from 0x50. +ACK
0,0568278,Read 0x00 from 0x50. +No ACK
0,0569835,Stop
0,0571060,Start
0,0571478,Setup write to 0x50. +ACK
0,0572198,Wrote 0x00 to 0x50. +ACK
0,0572918,Wrote 0x00 to 0x50. +ACK
0,0573575,Stop
0,0574720,Start
0,0575140,Setup write to 0x50. +ACK
0,0575860,Wrote 0x00 to 0x50. +ACK
0,0576580,Wrote 0x00 to 0x50. +ACK
0,0577238,Stop
0,0577763,Start
0,0578180,Setup write to 0x50. +ACK
0,0579360,Wrote 0x00 to 0x50. +ACK
0,0580080,Wrote 0x10 to 0x50. +ACK
0,0580738,Stop
0,0591495,Start
0,0591913,Setup write to 0x50. +ACK
0,0592633,Wrote 0x01 to 0x50. +ACK
0,0593353,Wrote 0x02 to 0x50. +ACK
0,0594073,Wrote 0x06 to 0x50. +ACK
0,0594793,Wrote 0x00 to 0x50. +ACK
0,0595453,Stop
0,0616170,Start
0,0616590,Setup write to 0x50. +ACK
0,0617310,Wrote 0x01 to 0x50. +ACK
0,0618008,Start
0,0618380,Setup read from 0x50. +ACK
0,0619400,Read 0x00 from 0x50. +ACK
0,0620640,Read 0x00 from 0x50. +No ACK
0,0621908,Stop
0,0623133,Start
0,0623550,Setup write to 0x50. +ACK
0,0624270,Wrote 0x00 to 0x50. +ACK
0,0624990,Wrote 0x00 to 0x50. +ACK
0,0625648,Stop
0,0626793,Start
0,0627213,Setup write to 0x50. +ACK
0,0627933,Wrote 0x00 to 0x50. +ACK
0,0629103,Wrote 0x00 to 0x50. +ACK
0,0629760,Stop
0,0630285,Start
0,0630703,Setup write to 0x50. +ACK
0,0631423,Wrote 0x00 to 0x50. +ACK
0,0632143,Wrote 0x10 to 0x50. +ACK
0,0632800,Stop
0,0643558,Start
0,0643975,Setup write to 0x50. +ACK
0,0644695,Wrote 0x01 to 0x50. +ACK
0,0645415,Wrote 0x02 to 0x50. +ACK
0,0646135,Wrote 0x06 to 0x50. +ACK
0,0646855,Wrote 0x00 to 0x50. +ACK
0,0647515,Stop
0,0668233,Start
0,0669113,Setup write to 0x50. +ACK
0,0669833,Wrote 0x01 to 0x50. +ACK
0,0670530,Start
0,0670903,Setup read from 0x50. +ACK
0,0671623,Read 0x00 from 0x50. +ACK
0,0672863,Read 0x00 from 0x50. +No ACK
0,0674130,Stop
0,0675355,Start
0,0675773,Setup write to 0x50. +ACK
0,0676493,Wrote 0x00 to 0x50. +ACK
0,0677213,Wrote 0x00 to 0x50. +ACK
0,0677873,Stop
0,0679478,Start
0,0679895,Setup write to 0x50. +ACK
0,0680615,Wrote 0x00 to 0x50. +ACK
0,0681335,Wrote 0x00 to 0x50. +ACK
0,0681993,Stop
0,0682518,Start
0,0682935,Setup write to 0x50. +ACK
0,0683655,Wrote 0x00 to 0x50. +ACK
0,0684375,Wrote 0x10 to 0x50. +ACK
0,0685033,Stop
0,0695790,Start
0,0696208,Setup write to 0x50. +ACK
0,0696928,Wrote 0x01 to 0x50. +ACK
0,0697648,Wrote 0x02 to 0x50. +ACK
0,0698370,Wrote 0x06 to 0x50. +ACK
0,0699390,Wrote 0x00 to 0x50. +ACK
0,0700048,Stop
0,0720768,Start
0,0721185,Setup write to 0x50. +ACK
0,0721905,Wrote 0x01 to 0x50. +ACK
0,0722603,Start
0,0722975,Setup read from 0x50. +ACK
0,0723695,Read 0x00 from 0x50. +ACK
0,0724935,Read 0x00 from 0x50. +No ACK
0,0726203,Stop
0,0727428,Start
